,gen_summaries,rouge_scores
0,"""I don't plan to be one of those people who, as soon as they turn 18, suddenly buy themselves a massive sports car collection or something similar,"" he told an Australian interviewer earlier this month.","{'rouge1': Score(precision=0.15384615384615385, recall=0.16666666666666666, fmeasure=0.16), 'rouge2': Score(precision=0.05263157894736842, recall=0.05714285714285714, fmeasure=0.05479452054794521), 'rougeL': Score(precision=0.10256410256410256, recall=0.1111111111111111, fmeasure=0.10666666666666666), 'rougeLsum': Score(precision=0.1282051282051282, recall=0.1388888888888889, fmeasure=0.13333333333333333)}"
1,"MIAMI, Florida (CNN) -- The ninth floor of the Miami-Dade pretrial detention facility is dubbed the ""forgotten floor."" Here","{'rouge1': Score(precision=0.20408163265306123, recall=0.5263157894736842, fmeasure=0.29411764705882354), 'rouge2': Score(precision=0.0625, recall=0.16666666666666666, fmeasure=0.09090909090909091), 'rougeL': Score(precision=0.12244897959183673, recall=0.3157894736842105, fmeasure=0.1764705882352941), 'rougeLsum': Score(precision=0.1836734693877551, recall=0.47368421052631576, fmeasure=0.2647058823529412)}"
2,"""The whole bridge from one side of the Mississippi to the other just completely gave way, fell all the way down,"" survivor Gary Babineau told CNN. Occasionally, a pickup truck with a medic inside would drive to get an injured person and bring him back up even ground, Hink told CNN. ""So","{'rouge1': Score(precision=0.14634146341463414, recall=0.11538461538461539, fmeasure=0.12903225806451613), 'rouge2': Score(precision=0.025, recall=0.0196078431372549, fmeasure=0.021978021978021976), 'rougeL': Score(precision=0.0975609756097561, recall=0.07692307692307693, fmeasure=0.08602150537634409), 'rougeLsum': Score(precision=0.12195121951219512, recall=0.09615384615384616, fmeasure=0.10752688172043012)}"
3,"summarize: WASHINGTON (CNN) -- Doctors removed five small polyps from President Bush's colon on Saturday, and ""none appeared worrisome,"" a White House spokesman said.","{'rouge1': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.13043478260869565, recall=0.13043478260869565, fmeasure=0.13043478260869565), 'rougeL': Score(precision=0.25, recall=0.25, fmeasure=0.25), 'rougeLsum': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333)}"
4,"In papers filed Friday with a federal court in Virginia, Vick also admitted that he and two co-conspirators killed dogs that did not fight well. In an additional summary of facts, signed by Vick and filed with the agreement, Vick admitted buying pit bulls and the property used for training and fighting the dogs, but the statement said he did not bet on the fights or receive any of the money won. The","{'rouge1': Score(precision=0.3170731707317073, recall=0.17567567567567569, fmeasure=0.22608695652173913), 'rouge2': Score(precision=0.1, recall=0.0547945205479452, fmeasure=0.07079646017699115), 'rougeL': Score(precision=0.1951219512195122, recall=0.10810810810810811, fmeasure=0.1391304347826087), 'rougeLsum': Score(precision=0.2926829268292683, recall=0.16216216216216217, fmeasure=0.20869565217391303)}"
5,"summarize: BAGHDAD, Iraq (CNN) -- Dressed in a Superman shirt, 5-year-old Youssif held his sister's hand Friday, seemingly unaware that millions of people across the world have been touched by his story. Short","{'rouge1': Score(precision=0.09302325581395349, recall=0.11428571428571428, fmeasure=0.10256410256410256), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.046511627906976744, recall=0.05714285714285714, fmeasure=0.05128205128205128), 'rougeLsum': Score(precision=0.09302325581395349, recall=0.11428571428571428, fmeasure=0.10256410256410256)}"
6,"""People shouldn't criticize women, or talk badly about them,"" says 37-year-old Suha as she adjusts the light colored scarf she wears these days to avoid extremists who insist women cover themselves. ""At this point there is a population of women who have to sell their bodies in order to keep their children alive,"" says Yanar Mohammed, head and founder of the Organization for Women's Freedom in Iraq. Rah","{'rouge1': Score(precision=0.3191489361702128, recall=0.20833333333333334, fmeasure=0.2521008403361345), 'rouge2': Score(precision=0.043478260869565216, recall=0.028169014084507043, fmeasure=0.034188034188034185), 'rougeL': Score(precision=0.19148936170212766, recall=0.125, fmeasure=0.15126050420168066), 'rougeLsum': Score(precision=0.2553191489361702, recall=0.16666666666666666, fmeasure=0.2016806722689075)}"
7,"Tomas Medina Caracas, known popularly as ""El Negro Acacio,"" was a member of the high command of the Fuerzas Armadas Revolucionarias de Colombia and, according to Colombian and U.S.","{'rouge1': Score(precision=0.2619047619047619, recall=0.36666666666666664, fmeasure=0.3055555555555555), 'rouge2': Score(precision=0.14634146341463414, recall=0.20689655172413793, fmeasure=0.1714285714285714), 'rougeL': Score(precision=0.19047619047619047, recall=0.26666666666666666, fmeasure=0.2222222222222222), 'rougeLsum': Score(precision=0.23809523809523808, recall=0.3333333333333333, fmeasure=0.2777777777777778)}"
8,"summarize: WASHINGTON (CNN) -- White House press secretary Tony Snow, who is undergoing treatment for cancer, will step down from his post September 14 and be replaced by deputy press secretary Dana Perino, the White House announced Friday. White House press secretary Tony Snow will","{'rouge1': Score(precision=0.48484848484848486, recall=0.36363636363636365, fmeasure=0.4155844155844156), 'rouge2': Score(precision=0.15625, recall=0.11627906976744186, fmeasure=0.13333333333333336), 'rougeL': Score(precision=0.2727272727272727, recall=0.20454545454545456, fmeasure=0.23376623376623376), 'rougeLsum': Score(precision=0.2727272727272727, recall=0.20454545454545456, fmeasure=0.23376623376623376)}"
9,"summarize: (CNN) -- Police and FBI agents are investigating the discovery of an empty rocket launcher tube on the front lawn of a Jersey City, New Jersey, home, FBI spokesman Sean Quinn said.","{'rouge1': Score(precision=0.25, recall=0.21875, fmeasure=0.23333333333333334), 'rouge2': Score(precision=0.07407407407407407, recall=0.06451612903225806, fmeasure=0.06896551724137931), 'rougeL': Score(precision=0.21428571428571427, recall=0.1875, fmeasure=0.19999999999999998), 'rougeLsum': Score(precision=0.25, recall=0.21875, fmeasure=0.23333333333333334)}"
10,"On Wednesday in Kansas City, Missouri, Bush will tell members of the Veterans of Foreign Wars that ""then, as now, people argued that the real problem was America's presence and that if we would just withdraw, the killing would end,"" according to speech excerpts released Tuesday by the White House.","{'rouge1': Score(precision=0.4594594594594595, recall=0.3333333333333333, fmeasure=0.38636363636363635), 'rouge2': Score(precision=0.16666666666666666, recall=0.12, fmeasure=0.13953488372093023), 'rougeL': Score(precision=0.2972972972972973, recall=0.21568627450980393, fmeasure=0.25000000000000006), 'rougeLsum': Score(precision=0.2972972972972973, recall=0.21568627450980393, fmeasure=0.25000000000000006)}"
11,"July 21, 2005: Two weeks after the deadly 7/7 bombings, four men are alleged to have attempted to carry out a second wave of attacks against London's transport network at three London underground stations and aboard a bus. July","{'rouge1': Score(precision=0.3055555555555556, recall=0.2682926829268293, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.16666666666666666, recall=0.14634146341463414, fmeasure=0.15584415584415584), 'rougeLsum': Score(precision=0.25, recall=0.21951219512195122, fmeasure=0.2337662337662338)}"
12,"In January 2004 he moved on to FC Porto, who were coached by Jose Mourinho, and the club won the Portuguese title as well as the Champions League.","{'rouge1': Score(precision=0.3611111111111111, recall=0.4642857142857143, fmeasure=0.40625000000000006), 'rouge2': Score(precision=0.11428571428571428, recall=0.14814814814814814, fmeasure=0.12903225806451613), 'rougeL': Score(precision=0.1388888888888889, recall=0.17857142857142858, fmeasure=0.15625000000000003), 'rougeLsum': Score(precision=0.25, recall=0.32142857142857145, fmeasure=0.28125000000000006)}"
13,"summarize: WASHINGTON (CNN) -- Vice President Dick Cheney will serve as acting president briefly Saturday while President Bush is anesthetized for a routine colonoscopy, White House spokesman Tony Snow said Friday.","{'rouge1': Score(precision=0.3548387096774194, recall=0.36666666666666664, fmeasure=0.36065573770491804), 'rouge2': Score(precision=0.16666666666666666, recall=0.1724137931034483, fmeasure=0.16949152542372883), 'rougeL': Score(precision=0.22580645161290322, recall=0.23333333333333334, fmeasure=0.22950819672131148), 'rougeLsum': Score(precision=0.25806451612903225, recall=0.26666666666666666, fmeasure=0.26229508196721313)}"
14,"summarize: SAN FRANCISCO, California (CNN) -- A magnitude 4.2 earthquake shook the San Francisco area Friday at 4:42 a.m.","{'rouge1': Score(precision=0.06521739130434782, recall=0.14285714285714285, fmeasure=0.08955223880597013), 'rouge2': Score(precision=0.044444444444444446, recall=0.1, fmeasure=0.061538461538461535), 'rougeL': Score(precision=0.06521739130434782, recall=0.14285714285714285, fmeasure=0.08955223880597013), 'rougeLsum': Score(precision=0.06521739130434782, recall=0.14285714285714285, fmeasure=0.08955223880597013)}"
15,"""Over the past 25 days, the Mine Safety and Health Administration has exhausted all known options in our attempt to reach the six miners,"" Richard Stickler, head of the agency, said in a statement. ""The grueling around-the-clock rescue operation that claimed three lives and injured six others has also taken a tremendous toll on the many brave rescuers and the local community, and our thoughts and prayers are with them all,"" Chao said in a statement.","{'rouge1': Score(precision=0.2653061224489796, recall=0.16666666666666666, fmeasure=0.2047244094488189), 'rouge2': Score(precision=0.10416666666666667, recall=0.06493506493506493, fmeasure=0.08), 'rougeL': Score(precision=0.20408163265306123, recall=0.1282051282051282, fmeasure=0.1574803149606299), 'rougeLsum': Score(precision=0.20408163265306123, recall=0.1282051282051282, fmeasure=0.1574803149606299)}"
16,"summarize: (CNN) -- At least 14 people were killed and 60 others wounded Thursday when a bomb ripped through a crowd waiting to see Algeria's president in Batna, east of the capital of Algiers, the Algerie Presse Service reported.","{'rouge1': Score(precision=0.19230769230769232, recall=0.1282051282051282, fmeasure=0.15384615384615385), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.11538461538461539, recall=0.07692307692307693, fmeasure=0.0923076923076923), 'rougeLsum': Score(precision=0.15384615384615385, recall=0.10256410256410256, fmeasure=0.1230769230769231)}"
17,"This week, we take an in depth look at the life and times of Beckham, as CNN's very own ""Becks,"" Becky Anderson, sets out to examine what makes the man tick -- as footballer, fashion icon and global phenomenon.","{'rouge1': Score(precision=0.2857142857142857, recall=0.3076923076923077, fmeasure=0.29629629629629634), 'rouge2': Score(precision=0.1951219512195122, recall=0.21052631578947367, fmeasure=0.20253164556962025), 'rougeL': Score(precision=0.23809523809523808, recall=0.2564102564102564, fmeasure=0.24691358024691357), 'rougeLsum': Score(precision=0.2619047619047619, recall=0.28205128205128205, fmeasure=0.2716049382716049)}"
18,"summarize: (CNN) -- A virus found in healthy Australian honey bees may be playing a role in the collapse of honey bee colonies across the United States, researchers reported Thursday. ""The","{'rouge1': Score(precision=0.2222222222222222, recall=0.3333333333333333, fmeasure=0.26666666666666666), 'rouge2': Score(precision=0.022727272727272728, recall=0.034482758620689655, fmeasure=0.0273972602739726), 'rougeL': Score(precision=0.13333333333333333, recall=0.2, fmeasure=0.16), 'rougeLsum': Score(precision=0.2, recall=0.3, fmeasure=0.24)}"
19,"Northern Rock chief executive Adam Applegarth said yesterday that the bank had yet to draw on the emergency cash, which he called ""a backdrop in case we need to use it"", according to PA.","{'rouge1': Score(precision=0.2, recall=0.20588235294117646, fmeasure=0.20289855072463767), 'rouge2': Score(precision=0.058823529411764705, recall=0.06060606060606061, fmeasure=0.05970149253731344), 'rougeL': Score(precision=0.14285714285714285, recall=0.14705882352941177, fmeasure=0.14492753623188406), 'rougeLsum': Score(precision=0.2, recall=0.20588235294117646, fmeasure=0.20289855072463767)}"
20,"Simpson is accused of having directed several other men in an alleged armed robbery of sports memorabilia in a room at a Las Vegas hotel room. The alleged victims were identified as Bruce Fromong, a sports memorabilia collector who described the incident as ""a home invasion-type robbery,"" and Alfred Beardsley, who has been quoted by celebrity Web site TMZ.com as saying that Simpson later apologized to him and told him he regretted the incident.","{'rouge1': Score(precision=0.4883720930232558, recall=0.27631578947368424, fmeasure=0.35294117647058826), 'rouge2': Score(precision=0.11904761904761904, recall=0.06666666666666667, fmeasure=0.08547008547008546), 'rougeL': Score(precision=0.32558139534883723, recall=0.18421052631578946, fmeasure=0.2352941176470588), 'rougeLsum': Score(precision=0.3953488372093023, recall=0.2236842105263158, fmeasure=0.2857142857142857)}"
